ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11739298,JC326580,06/28/2019 09:05:00 AM,009XX N HOMAN AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,STREET,FALSE,TRUE,1121,11,27,23,08B,1153531,1906249,2019,07-05-2019 16:13,41.89858849,-87.71153561,"(41.898588493, -87.711535607)"
11892897,JC512336,11/15/2019 09:00:00 AM,021XX W AINSLIE ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,FALSE,2032,20,40,4,08B,1160990,1932515,2019,11/22/2019 03:52:54 PM,41.97051244,-87.68340775,"(41.970512438, -87.683407751)"
11895128,JC515023,11-05-2019 10:04,081XX S VINCENNES AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,622,6,21,44,17,1174708,1850883,2019,11/21/2019 03:52:19 PM,41.74621174,-87.63540603,"(41.74621174, -87.635406033)"
11706247,JC285449,03-01-2019 00:01,027XX S TRUMBULL AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,TRUE,1032,10,22,30,17,1153809,1885609,2019,07-05-2019 16:04,41.84194457,-87.71106408,"(41.841944565, -87.711064084)"
11736180,JC322678,05-06-2019 00:00,028XX N MARMORA AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,APARTMENT,FALSE,TRUE,2514,25,30,19,17,1136563,1918370,2019,07-05-2019 16:04,41.9321705,-87.77356834,"(41.932170498, -87.773568336)"
11739459,JC326626,06/28/2019 10:48:00 PM,006XX S INDEPENDENCE BLVD,4230,KIDNAPPING,UNLAWFUL RESTRAINT,STREET,FALSE,FALSE,1133,11,24,27,26,1151362,1897011,2019,07-05-2019 16:13,41.87328131,-87.71974488,"(41.87328131, -87.71974488)"
11896676,JC516999,11-12-2019 12:01,077XX S CHAMPLAIN AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,624,6,6,69,2,1181907,1853795,2019,11/22/2019 03:49:35 PM,41.75403932,-87.60893769,"(41.754039324, -87.608937685)"
11740396,JC327624,06/29/2019 03:00:00 PM,048XX W CONGRESS PKWY,4230,KIDNAPPING,UNLAWFUL RESTRAINT,RESIDENCE,FALSE,FALSE,1533,15,29,25,26,1144200,1897244,2019,07-06-2019 16:09,41.87405817,-87.74603452,"(41.874058172, -87.746034521)"
11740174,JC327291,06/29/2019 12:35:00 PM,002XX S CANAL ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,SIDEWALK,FALSE,FALSE,121,1,42,28,08B,1173177,1899236,2019,07-06-2019 16:09,41.878931,-87.63958562,"(41.878931004, -87.639585621)"
11891828,JC510844,11-10-2019 14:00,084XX W WILSON AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,HOSPITAL BUILDING/GROUNDS,TRUE,TRUE,1614,16,38,76,08B,1118837,1929765,2019,11/22/2019 03:49:35 PM,41.96373897,-87.83846882,"(41.963738966, -87.838468822)"
11896674,JC516941,11-06-2019 10:37,021XX W ADAMS ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1225,12,27,28,2,1162269,1899063,2019,11/22/2019 03:49:35 PM,41.87869125,-87.67964249,"(41.878691245, -87.67964249)"
11559984,JC108738,01-05-2019 22:00,070XX S MAPLEWOOD AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,FALSE,TRUE,832,8,17,66,2,1160591,1857877,2019,04/19/2020 03:44:21 PM,41.7657069,-87.68694148,"(41.765706895, -87.68694148)"
11692246,JC269341,05/19/2019 10:47:00 AM,035XX S WOOD ST,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,912,9,12,59,17,1164929,1881240,2019,04/19/2020 03:44:21 PM,41.82972725,-87.67038079,"(41.829727247, -87.670380785)"
11892452,JC511319,11/15/2019 07:30:00 AM,118XX S INDIANA AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,RESIDENCE,FALSE,FALSE,532,5,9,53,20,1179706,1826332,2019,11/22/2019 03:52:54 PM,41.67872786,-87.61783991,"(41.678727863, -87.617839914)"
11896673,JC517025,11-12-2019 20:16,036XX S RHODES AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,FALSE,FALSE,212,2,4,35,2,1180179,1881011,2019,11/22/2019 03:49:35 PM,41.82876229,-87.61443616,"(41.828762287, -87.614436164)"
11896661,JC516730,11-06-2019 19:16,063XX S SANGAMON ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,723,7,16,68,17,1171069,1862634,2019,11/22/2019 03:49:35 PM,41.77853819,-87.64839725,"(41.778538185, -87.648397254)"
11705513,JC285309,05/30/2019 06:00:00 PM,135XX S MACKINAW AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,RESIDENCE,FALSE,TRUE,433,4,10,55,20,1200436,1815833,2019,07-07-2019 16:06,41.64942004,-87.54231426,"(41.649420043, -87.542314259)"
11714664,JC296325,06-02-2019 12:00,077XX S GREEN ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,621,6,17,71,08B,1171979,1853521,2019,07-07-2019 16:06,41.75351106,-87.64532837,"(41.753511061, -87.645328374)"
11740782,JC328351,06/30/2019 07:00:00 AM,075XX S PAXTON AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,FALSE,TRUE,414,4,8,43,20,1192179,1855414,2019,07-07-2019 16:14,41.75823849,-87.57124228,"(41.758238491, -87.571242275)"
11741188,JC328698,06/30/2019 01:20:00 PM,016XX S KARLOV AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,FALSE,TRUE,1012,10,24,29,08B,1149322,1891498,2019,07-07-2019 16:14,41.85819276,-87.72737765,"(41.858192755, -87.727377654)"
11868808,JC482242,10/21/2019 09:00:00 AM,044XX S MARSHFIELD AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,TRUE,TRUE,924,9,15,61,2,1166079,1875355,2019,11/23/2019 03:48:23 PM,41.81355374,-87.66632907,"(41.813553744, -87.666329066)"
11895407,JC515465,11-04-2019 20:00,013XX S MORGAN ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,FALSE,FALSE,1232,12,25,28,20,1170121,1893889,2019,11/23/2019 03:48:23 PM,41.86432567,-87.65096268,"(41.864325673, -87.650962679)"
11893385,JC512972,11/16/2019 02:00:00 PM,055XX W 63RD PL,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,FALSE,813,8,13,64,08B,1140654,1861921,2019,11/23/2019 03:51:46 PM,41.77719226,-87.75991955,"(41.777192261, -87.759919549)"
11722487,JC306129,01-09-2019 10:15,005XX E 75TH ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,DAY CARE CENTER,TRUE,FALSE,323,3,6,69,20,1181039,1855400,2019,07-08-2019 16:05,41.75846363,-87.61206927,"(41.758463627, -87.612069274)"
11897704,JC518110,11-11-2019 23:53,048XX S ELIZABETH ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,933,9,20,61,17,1168810,1872621,2019,11/23/2019 03:48:23 PM,41.80599275,-87.65639059,"(41.805992749, -87.656390587)"
11897320,JC517607,11-07-2019 11:15,013XX S CHRISTIANA AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1021,10,24,29,2,1154246,1893577,2019,11/23/2019 03:48:23 PM,41.86380098,-87.7092479,"(41.863800981, -87.709247902)"
11741923,JC329612,07-01-2019 07:00,076XX S COLES AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,421,4,7,43,20,1196270,1855214,2019,07-08-2019 16:16,41.75758925,-87.55625608,"(41.757589249, -87.556256082)"
